id,module,subtype,difficulty,text,target,display,distractor_1,distractor_2,distractor_3,distractor_family,weight,enabled,answer_correct,construction_id,cluster_family,cluster_surface,frame,subject,clitic_1,clitic_2,clitic_3,semantic_type,acoustic_tags,contrast_1,contrast_2,contrast_3,notes
PC_0001,SINGLE_CLITIC,SINGLE_COD,D2,Je l'ai reçu.,我收到这个了,我收到这个了,他收到这个了,我收到这些了,我把这个给别人了,SUBJECT|COD_NUMBER|ROLE,1.7,1,我收到这个了,RECEVOIR_QCH,SINGLE_COD,l',PASSE_COMPOSE,JE,LE_LA,,,COD_OBJECT,L_AI,SUBJECT,COD_NUMBER,ROLE,seed=PC_0001; context=NONE
PC_0002,SINGLE_CLITIC,SINGLE_COD,D1,Elle les connaît.,她认识他们,她认识他们,他认识他们,她认识他,他们认识她,SUBJECT|COD_NUMBER|ROLE,1.0,1,她认识他们,CONNAITRE_QN,SINGLE_COD,les,PRESENT,ELLE,LES,,,COD_PERSON,,SUBJECT,COD_NUMBER,ROLE,seed=PC_0002; context=NONE
PC_0003,SINGLE_CLITIC,SINGLE_COI,D2,Je lui ai répondu.,我回复他了,我回复他了,他回复我了,我回复他们了,我没回复他,ROLE_REVERSAL|COI_NUMBER|POLARITY,1.0,1,我回复他了,REPONDRE_A_QN,SINGLE_COI,lui,PASSE_COMPOSE,JE,LUI,,,RECIPIENT,,ROLE_REVERSAL,COI_NUMBER,POLARITY,seed=PC_0003; context=NONE
PC_0004,SINGLE_CLITIC,SINGLE_COI,D2,Nous leur avons écrit.,我们给他们写信了,我们给他们写信了,他们给我们写信了,我们给他写信了,我们给他们打电话了,ROLE_REVERSAL|COI_NUMBER|LEXICAL,1.2,1,我们给他们写信了,ECRIRE_A_QN,SINGLE_COI,leur,PASSE_COMPOSE,NOUS,LEUR,,,RECIPIENT,,ROLE_REVERSAL,COI_NUMBER,LEXICAL,seed=PC_0004; context=NONE
PC_0005,SINGLE_CLITIC,SINGLE_PERSON,D2,Il m'a appelé.,他给我打电话了,他给我打电话了,我给他打电话了,他给我们打电话了,他给我写信了,ROLE_REVERSAL|PERSON|LEXICAL,1.8,1,他给我打电话了,APPELER_QN,SINGLE_PERSON,m',PASSE_COMPOSE,IL,ME,,,COD_PERSON,M_A,ROLE_REVERSAL,PERSON,LEXICAL,seed=PC_0005; context=NONE
PC_0006,SINGLE_CLITIC,SINGLE_PERSON,D2,Elle nous a prévenus.,她通知我们了,她通知我们了,我们通知她了,她通知他们了,她帮助我们了,ROLE_REVERSAL|PERSON|LEXICAL,1.0,1,她通知我们了,PREVENIR_QN,SINGLE_PERSON,nous,PASSE_COMPOSE,ELLE,NOUS,,,COD_PERSON,,ROLE_REVERSAL,PERSON,LEXICAL,seed=PC_0006; context=NONE
PC_0007,SINGLE_CLITIC,SINGLE_PERSON,D2,Je vous ai entendu.,我听见您了,我听见您了,您听见我了,我听见他们了,我看见您了,ROLE_REVERSAL|PERSON|LEXICAL,1.4,1,我听见您了,ENTENDRE_QN,SINGLE_PERSON,vous,PASSE_COMPOSE,JE,VOUS,,,COD_PERSON,VOUS_AI,ROLE_REVERSAL,PERSON,LEXICAL,seed=PC_0007; context=NONE
PC_0008,SINGLE_CLITIC,EN_LEXICAL,D1,J'en ai besoin.,我需要这个,我需要这个,他需要这个,我不需要这个,我需要这些,SUBJECT|POLARITY|NUMBER,1.7,1,我需要这个,AVOIR_BESOIN_DE,SINGLE_EN,en,PRESENT,JE,EN,,,LEXICAL_EN,EN_AI,SUBJECT,POLARITY,NUMBER,seed=PC_0008; context=NONE
PC_0009,SINGLE_CLITIC,EN_TOPIC,D1,Il en parle souvent.,他经常谈这件事,他经常谈这件事,我经常谈这件事,他经常谈那些人,他很少谈这件事,SUBJECT|SEMANTIC|ADJUNCT,1.0,1,他经常谈这件事,PARLER_DE,SINGLE_EN,en,PRESENT,IL,EN,,,TOPIC,,SUBJECT,SEMANTIC,ADJUNCT,seed=PC_0009; context=NONE
PC_0010,SINGLE_CLITIC,EN_QUANTITY,D2,Nous en avons acheté trois.,我们买了三个,我们买了三个,他们买了三个,我们买了一个,我们卖了三个,SUBJECT|QUANTITY|LEXICAL,1.7,1,我们买了三个,ACHETER_QCH,SINGLE_EN,en,PASSE_COMPOSE,NOUS,EN,,,QUANTITY,NOUS_EN_AVONS,SUBJECT,QUANTITY,LEXICAL,seed=PC_0010; context=NONE
PC_0011,SINGLE_CLITIC,Y_LOCATION,D1,J'y vais demain.,我明天去那里,我明天去那里,他明天去那里,我明天从那里回来,我今天去那里,SUBJECT|DIRECTION|ADJUNCT,1.0,1,我明天去那里,ALLER_A_LIEU,SINGLE_Y,y,PRESENT,JE,Y,,,LOCATION,,SUBJECT,DIRECTION,ADJUNCT,seed=PC_0011; context=NONE
PC_0012,SINGLE_CLITIC,Y_TOPIC,D1,Elle y pense encore.,她还在想这件事,她还在想这件事,他还在想这件事,她已经忘了这件事,她还在想别的事,SUBJECT|LEXICAL|SEMANTIC,1.0,1,她还在想这件事,PENSER_A,SINGLE_Y,y,PRESENT,ELLE,Y,,,TOPIC,,SUBJECT,LEXICAL,SEMANTIC,seed=PC_0012; context=NONE
PC_0013,SINGLE_CLITIC,Y_TOPIC,D2,Vous y avez participé.,您参加了这个活动,您参加了这个活动,我们参加了这个活动,您退出了这个活动,您参加了这些活动,SUBJECT|LEXICAL|NUMBER,1.4,1,您参加了这个活动,PARTICIPER_A,SINGLE_Y,y,PASSE_COMPOSE,VOUS,Y,,,EVENT,VOUS_Y_AVEZ,SUBJECT,LEXICAL,NUMBER,seed=PC_0013; context=NONE
PC_0014,SINGLE_CLITIC,REFLEXIVE,D2,Je me suis trompé.,我搞错了,我搞错了,他搞错了,我没搞错,我迟到了,SUBJECT|POLARITY|LEXICAL,1.3,1,我搞错了,SE_TROMPER,SINGLE_REFLEXIVE,me,PASSE_COMPOSE,JE,ME,,,LEXICAL_REFLEXIVE,ME_SUIS,SUBJECT,POLARITY,LEXICAL,seed=PC_0014; context=NONE
